Date,Price,Open,High,Low,Change %
2017-06-06,585.75,585.67,586.5,584.48,0.15%
2017-06-07,587.68,585.75,588.38,584.32,0.33%
2017-06-08,586.99,586.82,587.99,584.44,-0.12%
2017-06-09,589.25,587.85,590.96,586.55,0.39%
2017-06-12,588.245,588.585,588.925,585.205,-0.17%
2017-06-13,587.91,588.22,589.27,587.12,-0.06%
2017-06-14,588.695,587.795,588.745,583.435,0.13%
2017-06-15,588.98,590.18,590.18,588.98,0.05%
2017-06-16,589.35,589.38,589.38,587.61,0.06%
2017-06-19,589.605,590.265,590.265,589.605,0.04%
2017-06-20,589.25,589.28,589.28,587.51,-0.06%
2017-06-21,589.2,589.25,590.38,589.2,-0.01%
2017-06-22,589.49,590.13,590.13,589.49,0.05%
2017-06-23,589.1,587.97,589.15,587.38,-0.07%
2017-06-26,588.695,591.005,591.005,588.695,-0.07%
2017-06-27,585.41,592.68,592.68,585.41,-0.56%
