Date,Price,Open,High,Low,Change %
2012-04-01,0.5396654074473827,1.7979,1.8654,1.7717,4.39%
2012-05-01,0.5318300271233314,1.8548,1.9117,1.8483,1.47%
2012-06-01,0.5154639175257733,1.8931,1.9435,1.8848,3.18%
2012-07-01,0.5123475765959628,1.9355,1.964,1.934,0.61%
2012-08-01,0.5179736869367035,1.955,1.961,1.9225,-1.09%
2012-09-01,0.5278716216216216,1.9333,1.9415,1.8902,-1.88%
2012-10-01,0.5297171310520182,1.915,1.924,1.8728,-0.35%
2012-11-01,0.5260112566408921,1.8906,1.9162,1.8703,0.70%
2012-12-01,0.5254860746190226,1.9036,1.9075,1.878,0.10%
2013-01-01,0.5260389268805892,1.9065,1.916,1.8813,-0.11%
2013-02-01,0.5221932114882506,1.908,1.922,1.8865,0.74%
2013-03-01,0.5167958656330749,1.908,1.9453,1.899,1.04%
2013-04-01,0.5070993914807302,1.94,1.975,1.9275,1.91%
2013-05-01,0.5012531328320802,1.9745,2.0,1.9525,1.17%
2013-06-01,0.4938271604938272,1.9975,2.0425,1.9863,1.50%
2013-07-01,0.48426150121065376,2.04,2.09,2.0082,1.98%
2013-08-01,0.46565774155995343,2.08,2.155,2.0525,4.00%
2013-09-01,0.4618937644341801,2.155,2.1905,2.1325,0.81%
2013-10-01,0.4504504504504504,2.18,2.22,2.1615,2.54%
2013-11-01,0.4424778761061947,2.21,2.295,2.1965,1.80%
2013-12-01,0.425531914893617,2.265,2.365,2.2638,3.98%
2014-01-01,0.42194092827004215,2.32,2.47,2.3063,0.85%
2014-02-01,0.38910505836575876,2.38,2.5825,2.38,8.44%
2014-03-01,0.3717472118959108,2.55,2.7,2.5247,4.67%
2014-04-01,0.3546099290780142,2.72,2.845,2.6825,4.83%
2014-05-01,0.32956530336486173,2.835,3.075,2.83,7.60%
2014-06-01,0.3021148036253776,2.995,3.4,2.88,9.09%
2014-07-01,0.2898550724637681,3.305,3.715,3.0092,4.23%
2014-08-01,0.26666666666666666,3.45,3.9125,3.355,8.70%
2014-09-01,0.3058103975535168,3.845,3.88,3.2,-12.80%
2014-10-01,0.3105590062111801,3.29,3.31,3.1475,-1.53%
2014-11-01,0.31347962382445144,3.22,3.2475,3.16,-0.93%
2014-12-01,0.3139717425431711,3.203,3.245,3.1472,-0.16%
2015-01-01,0.3003003003003003,3.19,3.52,3.1475,4.55%
2015-02-01,0.28653295128939826,3.282,3.52,3.245,4.80%
2015-03-01,0.26246719160104987,3.5,3.86,3.4725,9.17%
2015-04-01,0.2610966057441253,3.83,3.875,3.77,0.52%
2015-05-01,0.24630541871921185,3.85,4.15,3.79,6.01%
2015-06-01,0.23045722713864308,4.02,4.4325,4.0,6.88%
2015-07-01,0.2617801047120419,4.34,4.4,3.16,-11.97%
2015-08-01,0.25641025641025644,3.82,4.39,3.55,2.09%
2015-09-01,0.2680965147453083,3.9,4.145,3.615,-4.36%
2015-10-01,0.26490066225165565,3.795,3.94,3.5975,1.21%
2015-11-01,0.26498489586093593,3.805,3.915,3.6904,-0.03%
2015-12-01,0.2631578947368421,3.83,3.865,3.6971,0.69%
2016-01-01,0.2540585859099108,3.81,4.135,3.755,3.58%
2016-02-01,0.25452416706966324,3.965,4.08,3.825,-0.18%
2016-03-01,0.26272923125426934,3.965,4.01,3.745,-3.12%
2016-04-01,0.2625705658395694,3.84,3.985,3.755,0.06%
2016-05-01,0.2625636716903849,3.83,3.9462,3.755,0.00%
